Date,,Bit,,,Depth,,Viscosity,,Mud Weight,,,PV,YP,pH,Filtrate,Chlorides
,,Diam.,,,,,,SG,,PPG,,,,,,
,,(“),,,(m),,,,,,,,,,,
6‐Dec,8½,,,34,,,38,1.05,,8.7,,12,6,8,14,1900
7‐Dec,12⅛,,,64,,,40,1.06,,8.9,,12,8,9,10.4,1900
10‐Dec,8½,,,102,,,38,1.11,,9.2,,13,4,11,10.8,2000
10‐Dec,8½,,,118,,,41,1.14,,9.5,,15,10,10,12,2100
11‐Dec,8½,,,189,,,42,1.1,,9.2,,14,12,9,7.6,2100
