,,,"AMC Test 1 (cuttings only)
(September, 2014)","AMC Test 2 (sectioned core samples)
(November, 2014)"
,Sample Interval,,"H1 1269 to 1270m
H1 1270 to 1272m
H1 1276 to 1278m
H1 1333 to 1334m
Box 4, 5, 13, 14, 15, 16, 17.","495 to 510m
675 to 690m
1210 to 1215m
1225 to 1230m
1270.7m
1277m
1333.3m
1340 to 1345m"
,Test Fluid Combinations,,"Solution 1:
1.5kg COREWELL + 3kg PAC L + 1% SHALEHIB
ULTRA
Solution 2:
2.5kg PAC R + 3kg PAC L + 3kg CLAY DOCTOR +
1% SHALEHIB ULTRA","Blank: (Water)
Mud 1:
20kg Aus‐Gel +3kg PAC R +4kg PAC L + 4%KCl
Mud 2:
20kg Aus‐Gel +3kg PAC R +4kg PAC L + 8%KCl
Mud 3:
2.5kg PAC R +3kg PAC L + 8kg Clay doctor + 3%KCl
Mud 4:
2.5kg PAC R +3kg PAC L + 8kg Clay doctor + 1% SHALEHIB
Mud 5:
1.5kg COREWELL + 1% SHALEHIB + 3kg PAC L"
